"x","y"
-3.52,12.3904
-3.51,12.3201
-3.5,12.25
-3.49,12.1801
-3.48,12.1104
-3.47,12.0409
-3.46,11.9716
-3.45,11.9025
-3.44,11.8336
-3.43,11.7649
-3.42,11.6964
-3.41,11.6281
-3.4,11.56
-3.39,11.4921
-3.38,11.4244
-3.37,11.3569
-3.36,11.2896
-3.35,11.2225
-3.34,11.1556
-3.33,11.0889
-3.32,11.0224
-3.31,10.9561
-3.3,10.89
-3.29,10.8241
-3.28,10.7584
-3.27,10.6929
-3.26,10.6276
-3.25,10.5625
-3.24,10.4976
-3.23,10.4329
-3.22,10.3684
-3.21,10.3041
-3.2,10.24
-3.19,10.1761
-3.18,10.1124
-3.17,10.0489
-3.16,9.9856
-3.15,9.9225
-3.14,9.8596
-3.13,9.7969
-3.12,9.7344
-3.11,9.6721
-3.1,9.61
-3.09,9.5481
-3.08,9.4864
-3.07,9.4249
-3.06,9.3636
-3.05,9.3025
-3.04,9.2416
-3.03,9.1809
-3.02,9.1204
-3.01,9.0601
-3,9
-2.99,8.9401
-2.98,8.8804
-2.97,8.8209
-2.96,8.7616
-2.95,8.7025
-2.94,8.6436
-2.93,8.5849
-2.92,8.5264
-2.91,8.4681
-2.9,8.41
-2.89,8.3521
-2.88,8.2944
-2.87,8.2369
-2.86,8.1796
-2.85,8.1225
-2.84,8.0656
-2.83,8.0089
-2.82,7.9524
-2.81,7.8961
-2.8,7.84
-2.79,7.7841
-2.78,7.7284
-2.77,7.6729
-2.76,7.6176
-2.75,7.5625
-2.74,7.5076
-2.73,7.4529
-2.72,7.3984
-2.71,7.3441
-2.7,7.29
-2.69,7.2361
-2.68,7.1824
-2.67,7.1289
-2.66,7.0756
-2.65,7.0225
-2.64,6.9696
-2.63,6.9169
-2.62,6.8644
-2.61,6.8121
-2.6,6.76
-2.59,6.7081
-2.58,6.6564
-2.57,6.6049
-2.56,6.5536
-2.55,6.5025
-2.54,6.4516
-2.53,6.4009
-2.52,6.3504
-2.51,6.3001
-2.5,6.25
-2.49,6.2001
-2.48,6.1504
-2.47,6.1009
-2.46,6.0516
-2.45,6.0025
-2.44,5.9536
-2.43,5.9049
-2.42,5.8564
-2.41,5.8081
-2.4,5.76
-2.39,5.7121
-2.38,5.6644
-2.37,5.6169
-2.36,5.5696
-2.35,5.5225
-2.34,5.4756
-2.33,5.4289
-2.32,5.3824
-2.31,5.3361
-2.3,5.29
-2.29,5.2441
-2.28,5.1984
-2.27,5.1529
-2.26,5.1076
-2.25,5.0625
-2.24,5.0176
-2.23,4.9729
-2.22,4.9284
-2.21,4.8841
-2.2,4.84
-2.19,4.7961
-2.18,4.7524
-2.17,4.7089
-2.16,4.6656
-2.15,4.6225
-2.14,4.5796
-2.13,4.5369
-2.12,4.4944
-2.11,4.4521
-2.1,4.41
-2.09,4.3681
-2.08,4.3264
-2.07,4.2849
-2.06,4.2436
-2.05,4.2025
-2.04,4.1616
-2.03,4.1209
-2.02,4.0804
-2.01,4.0401
-2,4
-1.99,3.9601
-1.98,3.9204
-1.97,3.8809
-1.96,3.8416
-1.95,3.8025
-1.94,3.7636
-1.93,3.7249
-1.92,3.6864
-1.91,3.6481
-1.9,3.61
-1.89,3.5721
-1.88,3.5344
-1.87,3.4969
-1.86,3.4596
-1.85,3.4225
-1.84,3.3856
-1.83,3.3489
-1.82,3.3124
-1.81,3.2761
-1.8,3.24
-1.79,3.2041
-1.78,3.1684
-1.77,3.1329
-1.76,3.0976
-1.75,3.0625
-1.74,3.0276
-1.73,2.9929
-1.72,2.9584
-1.71,2.9241
-1.7,2.89
-1.69,2.8561
-1.68,2.8224
-1.67,2.7889
-1.66,2.7556
-1.65,2.7225
-1.64,2.6896
-1.63,2.6569
-1.62,2.6244
-1.61,2.5921
-1.6,2.56
-1.59,2.5281
-1.58,2.4964
-1.57,2.4649
-1.56,2.4336
-1.55,2.4025
-1.54,2.3716
-1.53,2.3409
-1.52,2.3104
-1.51,2.2801
-1.5,2.25
-1.49,2.2201
-1.48,2.1904
-1.47,2.1609
-1.46,2.1316
-1.45,2.1025
-1.44,2.0736
-1.43,2.0449
-1.42,2.0164
-1.41,1.9881
-1.4,1.96
-1.39,1.9321
-1.38,1.9044
-1.37,1.8769
-1.36,1.8496
-1.35,1.8225
-1.34,1.7956
-1.33,1.7689
-1.32,1.7424
-1.31,1.7161
-1.3,1.69
-1.29,1.6641
-1.28,1.6384
-1.27,1.6129
-1.26,1.5876
-1.25,1.5625
-1.24,1.5376
-1.23,1.5129
-1.22,1.4884
-1.21,1.4641
-1.2,1.44
-1.19,1.4161
-1.18,1.3924
-1.17,1.3689
-1.16,1.3456
-1.15,1.3225
-1.14,1.2996
-1.13,1.2769
-1.12,1.2544
-1.11,1.2321
-1.1,1.21
-1.09,1.1881
-1.08,1.1664
-1.07,1.1449
-1.06,1.1236
-1.05,1.1025
-1.04,1.0816
-1.03,1.0609
-1.02,1.0404
-1.01,1.0201
-1,1
-0.99,0.9801
-0.98,0.960399999999999
-0.97,0.9409
-0.96,0.9216
-0.95,0.9025
-0.94,0.883599999999999
-0.93,0.864899999999999
-0.92,0.8464
-0.91,0.8281
-0.9,0.810000000000001
-0.89,0.792099999999999
-0.88,0.7744
-0.87,0.7569
-0.86,0.739600000000001
-0.85,0.722499999999999
-0.84,0.7056
-0.83,0.6889
-0.82,0.6724
-0.81,0.656099999999999
-0.8,0.64
-0.79,0.6241
-0.78,0.6084
-0.77,0.592899999999999
-0.76,0.5776
-0.75,0.5625
-0.74,0.5476
-0.73,0.532899999999999
-0.72,0.5184
-0.71,0.5041
-0.7,0.49
-0.69,0.476099999999999
-0.68,0.4624
-0.67,0.4489
-0.66,0.4356
-0.649999999999999,0.422499999999999
-0.64,0.4096
-0.63,0.3969
-0.62,0.3844
-0.61,0.3721
-0.6,0.36
-0.59,0.3481
-0.58,0.3364
-0.57,0.3249
-0.56,0.3136
-0.55,0.3025
-0.54,0.2916
-0.53,0.2809
-0.52,0.2704
-0.51,0.2601
-0.5,0.25
-0.49,0.2401
-0.48,0.2304
-0.47,0.2209
-0.46,0.2116
-0.45,0.2025
-0.44,0.1936
-0.43,0.1849
-0.42,0.1764
-0.41,0.1681
-0.399999999999999,0.16
-0.39,0.1521
-0.38,0.1444
-0.37,0.1369
-0.36,0.1296
-0.35,0.1225
-0.34,0.1156
-0.33,0.1089
-0.32,0.1024
-0.31,0.0960999999999998
-0.3,0.0899999999999999
-0.29,0.0841
-0.28,0.0784000000000001
-0.27,0.0728999999999998
-0.26,0.0675999999999999
-0.25,0.0625
-0.24,0.0576000000000001
-0.23,0.0528999999999998
-0.22,0.0483999999999999
-0.21,0.0441
-0.2,0.0400000000000001
-0.19,0.0360999999999998
-0.18,0.0323999999999999
-0.17,0.0289
-0.16,0.0256
-0.149999999999999,0.0224999999999998
-0.14,0.0195999999999999
-0.13,0.0169
-0.12,0.0144
-0.11,0.0121000000000001
-0.0999999999999996,0.00999999999999993
-0.0899999999999999,0.00809999999999998
-0.0800000000000001,0.00640000000000001
-0.0700000000000003,0.00490000000000004
-0.0599999999999996,0.00359999999999995
-0.0499999999999998,0.00249999999999998
-0.04,0.0016
-0.0300000000000002,0.000900000000000015
-0.0199999999999996,0.000399999999999983
-0.00999999999999979,9.99999999999957e-05
0,0
0.00999999999999979,9.99999999999957e-05
0.0200000000000005,0.000400000000000018
0.0300000000000002,0.000900000000000015
0.04,0.0016
0.0499999999999998,0.00249999999999998
0.0600000000000005,0.00360000000000006
0.0700000000000003,0.00490000000000004
0.0800000000000001,0.00640000000000001
0.0899999999999999,0.00809999999999998
0.100000000000001,0.0100000000000001
0.11,0.0121000000000001
0.12,0.0144
0.13,0.0169
0.14,0.0195999999999999
0.15,0.0225000000000001
0.16,0.0256
0.17,0.0289
0.18,0.0323999999999999
0.19,0.0361000000000001
0.2,0.0400000000000001
0.21,0.0441
0.22,0.0483999999999999
0.23,0.0529000000000002
0.24,0.0576000000000001
0.25,0.0625
0.26,0.0675999999999999
0.27,0.0729000000000003
0.28,0.0784000000000001
0.29,0.0841
0.3,0.0899999999999999
0.31,0.0961000000000003
0.32,0.1024
0.33,0.1089
0.34,0.1156
0.350000000000001,0.1225
0.36,0.1296
0.37,0.1369
0.38,0.1444
0.39,0.1521
0.4,0.16
0.41,0.1681
0.42,0.1764
0.43,0.1849
0.44,0.1936
0.45,0.2025
0.46,0.2116
0.47,0.2209
0.48,0.2304
0.49,0.2401
0.5,0.25
0.51,0.2601
0.52,0.2704
0.53,0.2809
0.54,0.2916
0.55,0.3025
0.56,0.313600000000001
0.57,0.3249
0.58,0.3364
0.59,0.3481
0.600000000000001,0.360000000000001
0.61,0.3721
0.62,0.3844
0.63,0.3969
0.64,0.4096
0.65,0.4225
0.66,0.4356
0.67,0.4489
0.68,0.4624
0.69,0.476100000000001
0.7,0.49
0.71,0.5041
0.72,0.5184
0.73,0.532900000000001
0.74,0.5476
0.75,0.5625
0.76,0.5776
0.77,0.592900000000001
0.78,0.6084
0.79,0.6241
0.8,0.64
0.81,0.656100000000001
0.82,0.6724
0.83,0.6889
0.84,0.7056
0.850000000000001,0.722500000000001
0.86,0.739600000000001
0.87,0.7569
0.88,0.7744
0.89,0.792099999999999
0.9,0.810000000000001
0.91,0.8281
0.92,0.8464
0.93,0.864899999999999
0.94,0.883600000000001
0.95,0.9025
0.96,0.9216
0.97,0.9409
0.98,0.960400000000001
0.99,0.9801
1,1
1.01,1.0201
1.02,1.0404
1.03,1.0609
1.04,1.0816
1.05,1.1025
1.06,1.1236
1.07,1.1449
1.08,1.1664
1.09,1.1881
1.1,1.21
1.11,1.2321
1.12,1.2544
1.13,1.2769
1.14,1.2996
1.15,1.3225
1.16,1.3456
1.17,1.3689
1.18,1.3924
1.19,1.4161
1.2,1.44
1.21,1.4641
1.22,1.4884
1.23,1.5129
1.24,1.5376
1.25,1.5625
1.26,1.5876
1.27,1.6129
1.28,1.6384
1.29,1.6641
1.3,1.69
1.31,1.7161
1.32,1.7424
1.33,1.7689
1.34,1.7956
1.35,1.8225
1.36,1.8496
1.37,1.8769
1.38,1.9044
1.39,1.9321
1.4,1.96
1.41,1.9881
1.42,2.0164
1.43,2.0449
1.44,2.0736
1.45,2.1025
1.46,2.1316
1.47,2.1609
1.48,2.1904
1.49,2.2201
1.5,2.25
1.51,2.2801
1.52,2.3104
1.53,2.3409
1.54,2.3716
1.55,2.4025
1.56,2.4336
1.57,2.4649
1.58,2.4964
1.59,2.5281
1.6,2.56
1.61,2.5921
1.62,2.6244
1.63,2.6569
1.64,2.6896
1.65,2.7225
1.66,2.7556
1.67,2.7889
1.68,2.8224
1.69,2.8561
1.7,2.89
1.71,2.9241
1.72,2.9584
1.73,2.9929
1.74,3.0276
1.75,3.0625
1.76,3.0976
1.77,3.1329
1.78,3.1684
1.79,3.2041
1.8,3.24
1.81,3.2761
1.82,3.3124
1.83,3.3489
1.84,3.3856
1.85,3.4225
1.86,3.4596
1.87,3.4969
1.88,3.5344
1.89,3.5721
1.9,3.61
1.91,3.6481
1.92,3.6864
1.93,3.7249
1.94,3.7636
1.95,3.8025
1.96,3.8416
1.97,3.8809
1.98,3.9204
1.99,3.9601
2,4
2.01,4.0401
2.02,4.0804
2.03,4.1209
2.04,4.1616
2.05,4.2025
2.06,4.2436
2.07,4.2849
2.08,4.3264
2.09,4.3681
2.1,4.41
2.11,4.4521
2.12,4.4944
2.13,4.5369
2.14,4.5796
2.15,4.6225
2.16,4.6656
2.17,4.7089
2.18,4.7524
2.19,4.7961
2.2,4.84
2.21,4.8841
2.22,4.9284
2.23,4.9729
2.24,5.0176
2.25,5.0625
2.26,5.1076
2.27,5.1529
2.28,5.1984
2.29,5.2441
2.3,5.29
2.31,5.3361
2.32,5.3824
2.33,5.4289
2.34,5.4756
2.35,5.5225
2.36,5.5696
2.37,5.6169
2.38,5.6644
2.39,5.7121
2.4,5.76
2.41,5.8081
2.42,5.8564
2.43,5.9049
2.44,5.9536
2.45,6.0025
2.46,6.0516
2.47,6.1009
2.48,6.1504
2.49,6.2001
2.5,6.25
2.51,6.3001
2.52,6.3504
2.53,6.4009
2.54,6.4516
2.55,6.5025
2.56,6.5536
2.57,6.6049
2.58,6.6564
2.59,6.7081
2.6,6.76
2.61,6.8121
2.62,6.8644
2.63,6.9169
2.64,6.9696
2.65,7.0225
2.66,7.0756
2.67,7.1289
2.68,7.1824
2.69,7.2361
2.7,7.29
2.71,7.3441
2.72,7.3984
2.73,7.4529
2.74,7.5076
2.75,7.5625
2.76,7.6176
2.77,7.6729
2.78,7.7284
2.79,7.7841
2.8,7.84
2.81,7.8961
2.82,7.9524
2.83,8.0089
2.84,8.0656
2.85,8.1225
2.86,8.1796
2.87,8.2369
2.88,8.2944
2.89,8.3521
2.9,8.41
2.91,8.4681
2.92,8.5264
2.93,8.5849
2.94,8.6436
2.95,8.7025
2.96,8.7616
2.97,8.8209
2.98,8.8804
2.99,8.9401
3,9
3.01,9.0601
3.02,9.1204
3.03,9.1809
3.04,9.24160000000001
3.05,9.3025
3.06,9.3636
3.07,9.4249
3.08,9.4864
3.09,9.5481
3.1,9.61
3.11,9.6721
3.12,9.73440000000001
3.13,9.7969
3.14,9.8596
3.15,9.9225
3.16,9.9856
3.17,10.0489
3.18,10.1124
3.19,10.1761
3.2,10.24
3.21,10.3041
3.22,10.3684
3.23,10.4329
3.24,10.4976
3.25,10.5625
3.26,10.6276
3.27,10.6929
3.28,10.7584
3.29,10.8241
3.3,10.89
3.31,10.9561
3.32,11.0224
3.33,11.0889
3.34,11.1556
3.35,11.2225
3.36,11.2896
3.37,11.3569
3.38,11.4244
3.39,11.4921
3.4,11.56
3.41,11.6281
3.42,11.6964
3.43,11.7649
3.44,11.8336
3.45,11.9025
3.46,11.9716
3.47,12.0409
3.48,12.1104
3.49,12.1801
3.5,12.25
3.51,12.3201
3.52,12.3904
3.53,12.4609
3.54,12.5316
3.55,12.6025
3.56,12.6736
3.57,12.7449
3.58,12.8164
3.59,12.8881
3.6,12.96
3.61,13.0321
3.62,13.1044
3.63,13.1769
3.64,13.2496
3.65,13.3225
3.66,13.3956
3.67,13.4689
3.68,13.5424
3.69,13.6161
3.7,13.69
3.71,13.7641
3.72,13.8384
3.73,13.9129
3.74,13.9876
3.75,14.0625
3.76,14.1376
3.77,14.2129
3.78,14.2884
3.79,14.3641
3.8,14.44
3.81,14.5161
3.82,14.5924
3.83,14.6689
3.84,14.7456
3.85,14.8225
3.86,14.8996
3.87,14.9769
3.88,15.0544
3.89,15.1321
3.9,15.21
3.91,15.2881
3.92,15.3664
3.93,15.4449
3.94,15.5236
3.95,15.6025
3.96,15.6816
3.97,15.7609
3.98,15.8404
3.99,15.9201
4,16
4.01,16.0801
4.02,16.1604
4.03,16.2409
4.04,16.3216
4.05,16.4025
4.06,16.4836
4.07,16.5649
4.08,16.6464
4.09,16.7281
4.1,16.81
4.11,16.8921
4.12,16.9744
4.13,17.0569
4.14,17.1396
4.15,17.2225
4.16,17.3056
4.17,17.3889
4.18,17.4724
4.19,17.5561
4.2,17.64
4.21,17.7241
4.22,17.8084
4.23,17.8929
4.24,17.9776
4.25,18.0625
4.26,18.1476
4.27,18.2329
4.28,18.3184
4.29,18.4041
4.3,18.49
4.31,18.5761
4.32,18.6624
4.33,18.7489
4.34,18.8356
4.35,18.9225
4.36,19.0096
4.37,19.0969
4.38,19.1844
4.39,19.2721
4.4,19.36
4.41,19.4481
4.42,19.5364
4.43,19.6249
4.44,19.7136
4.45,19.8025
4.46,19.8916
4.47,19.9809
4.48,20.0704
4.49,20.1601
4.5,20.25
4.51,20.3401
4.52,20.4304
4.53,20.5209
4.54,20.6116
4.55,20.7025
4.56,20.7936
4.57,20.8849
4.58,20.9764
4.59,21.0681
4.6,21.16
4.61,21.2521
4.62,21.3444
4.63,21.4369
4.64,21.5296
4.65,21.6225
4.66,21.7156
4.67,21.8089
4.68,21.9024
4.69,21.9961
4.7,22.09
4.71,22.1841
4.72,22.2784
4.73,22.3729
4.74,22.4676
4.75,22.5625
4.76,22.6576
4.77,22.7529
4.78,22.8484
4.79,22.9441
4.8,23.04
4.81,23.1361
4.82,23.2324
4.83,23.3289
4.84,23.4256
4.85,23.5225
4.86,23.6196
4.87,23.7169
4.88,23.8144
4.89,23.9121
4.9,24.01
4.91,24.1081
4.92,24.2064
4.93,24.3049
4.94,24.4036
4.95,24.5025
4.96,24.6016
4.97,24.7009
4.98,24.8004
4.99,24.9001
5,25
